,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
1525,40,technician,married,professional.course,unknown,no,no,telephone,may,wed,288,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1526,55,unknown,unknown,unknown,unknown,yes,no,cellular,jul,mon,230,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1527,43,services,divorced,unknown,unknown,yes,yes,cellular,jul,tue,483,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
1528,34,blue-collar,married,basic.9y,no,no,yes,cellular,may,wed,50,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
1529,28,blue-collar,single,professional.course,no,yes,no,cellular,jul,wed,611,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1530,29,technician,single,university.degree,no,yes,yes,telephone,jun,fri,1149,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
1531,38,blue-collar,married,unknown,no,yes,no,cellular,jul,wed,131,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1532,34,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,mon,616,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1533,54,retired,married,high.school,no,no,no,cellular,aug,wed,543,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
1534,51,admin.,divorced,university.degree,no,yes,no,cellular,jul,mon,151,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1535,28,unemployed,single,basic.4y,no,yes,no,cellular,apr,thu,156,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
1536,31,technician,single,university.degree,no,no,no,cellular,jul,thu,305,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1537,31,admin.,divorced,professional.course,no,yes,no,cellular,mar,tue,292,2,999,1,failure,-1.8,93.369,-34.8,0.655,5008.7,yes
1538,42,technician,divorced,professional.course,no,yes,yes,cellular,jul,mon,154,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1539,42,blue-collar,married,basic.6y,unknown,no,no,cellular,may,mon,15,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
1540,56,services,married,high.school,no,no,no,cellular,aug,tue,173,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1541,47,admin.,married,high.school,no,yes,yes,cellular,aug,thu,3322,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
1542,53,retired,divorced,basic.9y,no,no,no,telephone,jul,mon,313,16,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1543,31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,192,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,yes
1544,33,services,married,basic.9y,no,no,yes,cellular,may,tue,277,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
1545,31,blue-collar,single,high.school,no,yes,no,telephone,jun,tue,113,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
1546,32,admin.,married,university.degree,no,yes,no,telephone,may,fri,82,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1547,31,admin.,single,university.degree,no,no,no,telephone,aug,mon,122,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.861,5076.2,no
1548,50,management,married,high.school,unknown,no,yes,telephone,may,fri,223,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1549,31,technician,single,university.degree,no,no,no,cellular,aug,wed,118,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
1550,48,admin.,divorced,university.degree,unknown,yes,no,cellular,aug,wed,67,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
1551,35,services,single,high.school,no,yes,no,cellular,may,wed,87,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
1552,41,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,216,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1553,54,technician,married,university.degree,unknown,no,no,telephone,may,thu,109,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1554,33,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,102,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.955,5228.1,no
1555,37,services,married,high.school,no,yes,no,telephone,may,tue,76,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1556,34,admin.,single,university.degree,no,no,no,cellular,apr,tue,142,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
1557,31,technician,married,university.degree,no,no,no,telephone,jun,thu,983,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,yes
1558,33,management,single,university.degree,no,no,no,cellular,nov,thu,2420,3,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
1559,37,technician,married,university.degree,no,no,no,telephone,may,tue,173,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1560,38,technician,single,professional.course,no,yes,no,cellular,aug,fri,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1561,33,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,254,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1562,45,technician,single,professional.course,no,yes,no,telephone,may,tue,121,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1563,30,technician,single,high.school,no,yes,no,cellular,apr,fri,218,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
1564,44,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,17,25,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
1565,44,self-employed,divorced,professional.course,no,yes,yes,cellular,jun,thu,134,1,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,no
1566,47,admin.,married,university.degree,no,no,yes,cellular,aug,mon,94,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1567,31,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,wed,106,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1568,50,housemaid,married,basic.4y,no,yes,no,telephone,nov,tue,150,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes
1569,41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,342,1,999,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,yes
1570,35,technician,married,professional.course,no,yes,no,cellular,aug,fri,225,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
1571,45,blue-collar,single,high.school,no,no,no,cellular,nov,thu,71,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
1572,27,student,single,university.degree,no,yes,no,telephone,may,tue,154,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1573,50,services,married,professional.course,unknown,no,yes,telephone,may,tue,111,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1574,52,admin.,divorced,university.degree,no,yes,no,cellular,jul,mon,867,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
1575,35,blue-collar,married,basic.4y,no,yes,no,cellular,apr,fri,199,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
1576,52,services,married,professional.course,unknown,yes,yes,cellular,aug,mon,84,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1577,41,admin.,married,basic.9y,unknown,no,no,telephone,jul,fri,259,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1578,42,technician,married,professional.course,no,yes,no,cellular,aug,mon,386,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1579,20,student,single,basic.4y,no,yes,yes,cellular,apr,tue,240,1,999,1,failure,-1.8,93.749,-34.6,0.644,5008.7,yes
1580,37,management,married,unknown,no,yes,no,cellular,nov,thu,632,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
1581,40,management,married,university.degree,no,yes,no,cellular,nov,fri,161,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
1582,37,blue-collar,single,basic.9y,unknown,no,no,cellular,jul,fri,1081,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1583,45,blue-collar,married,basic.6y,unknown,no,no,telephone,may,fri,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1584,26,blue-collar,married,high.school,no,yes,no,telephone,jun,wed,126,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
1585,31,services,single,university.degree,no,no,yes,cellular,jul,fri,409,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
1586,30,services,married,high.school,no,yes,no,cellular,jul,mon,559,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
1587,34,technician,married,university.degree,no,yes,no,cellular,jul,fri,133,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1588,37,technician,single,university.degree,no,yes,yes,telephone,jun,tue,43,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1589,57,admin.,divorced,basic.9y,no,no,no,telephone,may,wed,283,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1590,24,management,single,university.degree,no,yes,no,cellular,may,thu,45,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.27,5099.1,no
1591,52,blue-collar,married,basic.4y,no,no,no,telephone,may,fri,151,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1592,43,management,single,university.degree,no,no,no,cellular,oct,tue,408,1,999,1,failure,-3.4,92.431,-26.9,0.7440000000000001,5017.5,no
1593,38,services,married,high.school,no,no,no,telephone,may,wed,483,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1594,25,services,single,professional.course,no,no,no,telephone,jun,wed,185,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
1595,39,technician,divorced,professional.course,no,yes,no,cellular,aug,fri,108,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1596,49,entrepreneur,married,basic.4y,no,no,no,cellular,apr,mon,383,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1597,29,technician,married,professional.course,no,yes,no,cellular,oct,fri,319,1,5,2,success,-1.1,94.601,-49.5,0.972,4963.6,yes
1598,46,admin.,single,university.degree,no,yes,no,telephone,jun,tue,198,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1599,36,admin.,single,university.degree,no,yes,yes,cellular,nov,wed,89,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1600,53,admin.,married,university.degree,no,yes,no,cellular,apr,fri,771,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1601,30,admin.,single,university.degree,no,no,no,cellular,apr,thu,222,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
1602,46,admin.,married,basic.6y,unknown,yes,no,cellular,may,mon,275,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
1603,30,blue-collar,single,basic.9y,no,no,no,cellular,may,fri,193,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
1604,51,services,married,high.school,unknown,yes,no,telephone,jun,fri,246,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
1605,24,management,married,university.degree,no,yes,no,telephone,may,thu,921,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
1606,38,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,22,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1607,34,admin.,married,university.degree,no,no,no,telephone,may,tue,184,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1608,47,services,divorced,high.school,no,no,no,telephone,may,mon,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1609,34,services,divorced,high.school,no,yes,no,cellular,jul,tue,317,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
1610,42,blue-collar,married,basic.6y,unknown,no,yes,cellular,may,wed,29,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
1611,38,services,married,high.school,no,yes,no,telephone,may,fri,512,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1612,35,technician,single,basic.6y,no,unknown,unknown,telephone,may,thu,332,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1613,34,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,159,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1614,54,housemaid,divorced,university.degree,unknown,yes,no,cellular,jul,mon,57,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1615,35,management,divorced,university.degree,no,no,yes,cellular,aug,mon,116,7,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1616,38,blue-collar,married,high.school,no,no,no,telephone,apr,mon,340,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1617,54,retired,married,basic.4y,unknown,no,no,telephone,may,wed,1730,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
1618,32,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,thu,624,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1619,29,technician,single,high.school,unknown,no,no,cellular,aug,wed,921,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
1620,45,services,married,basic.9y,no,no,no,telephone,jun,mon,71,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
1621,47,management,married,basic.9y,no,yes,no,cellular,nov,tue,709,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
1622,51,admin.,married,university.degree,no,yes,no,cellular,aug,thu,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1623,38,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,259,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
1624,32,technician,single,university.degree,no,no,no,telephone,aug,mon,51,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1625,40,admin.,married,high.school,no,no,no,cellular,jul,thu,228,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
1626,47,blue-collar,married,basic.4y,no,no,no,telephone,may,fri,283,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1627,31,unemployed,single,professional.course,no,yes,no,cellular,nov,wed,192,1,0,1,success,-0.1,93.2,-42.0,4.12,5195.8,no
1628,34,admin.,married,university.degree,unknown,no,no,telephone,jun,tue,133,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
1629,25,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,260,9,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1630,32,services,divorced,high.school,unknown,yes,no,cellular,jul,tue,454,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1631,32,admin.,divorced,university.degree,no,no,no,cellular,jul,thu,75,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1632,54,retired,married,professional.course,no,yes,no,telephone,jun,fri,40,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
1633,56,services,married,high.school,no,yes,yes,cellular,jul,fri,65,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1634,34,technician,married,professional.course,no,no,no,telephone,jun,thu,320,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
1635,30,blue-collar,single,basic.6y,no,yes,no,cellular,may,thu,542,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,yes
1636,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1637,45,technician,married,high.school,no,yes,yes,cellular,aug,tue,474,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1638,52,admin.,married,professional.course,no,no,yes,cellular,sep,wed,506,3,999,0,nonexistent,-1.1,94.199,-37.5,0.8759999999999999,4963.6,yes
1639,46,technician,divorced,professional.course,no,no,no,cellular,jul,wed,187,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1640,59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1641,30,blue-collar,married,basic.9y,no,yes,no,cellular,nov,wed,175,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
1642,54,management,married,university.degree,no,no,no,cellular,may,mon,397,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.264,5099.1,yes
1643,36,unemployed,married,professional.course,no,yes,no,cellular,apr,thu,835,7,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,no
1644,58,services,married,high.school,no,no,no,cellular,aug,fri,155,5,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
1645,36,technician,married,basic.9y,no,yes,yes,cellular,apr,mon,7,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1646,39,blue-collar,single,basic.4y,no,no,no,cellular,may,tue,231,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
1647,31,blue-collar,married,basic.9y,no,no,yes,cellular,nov,mon,213,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
1648,34,management,single,university.degree,no,no,no,telephone,may,tue,290,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1649,47,management,married,basic.4y,unknown,yes,no,cellular,nov,wed,117,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1650,29,services,single,high.school,no,yes,no,cellular,nov,fri,43,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
1651,29,student,single,high.school,unknown,no,no,cellular,may,tue,53,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
1652,35,services,married,high.school,unknown,no,no,telephone,may,thu,267,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1653,39,technician,single,university.degree,no,yes,no,cellular,aug,wed,224,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
1654,31,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,97,5,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
1655,37,technician,single,university.degree,no,yes,no,cellular,jul,wed,256,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1656,43,technician,married,basic.9y,unknown,no,no,telephone,jun,fri,44,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
1657,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,thu,1136,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
1658,40,technician,married,professional.course,no,yes,no,cellular,may,wed,248,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,yes
1659,60,management,married,university.degree,no,no,no,cellular,jul,fri,241,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1660,36,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,361,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1661,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,121,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1662,33,blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,352,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
1663,42,management,married,university.degree,no,no,no,telephone,may,wed,109,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1664,43,admin.,married,university.degree,no,no,no,cellular,jul,tue,187,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1665,35,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,388,12,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1666,39,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,202,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1667,34,admin.,single,high.school,no,unknown,unknown,telephone,aug,fri,22,1,999,0,nonexistent,-1.7,94.027,-38.3,0.89,4991.6,no
1668,34,technician,married,high.school,no,no,no,cellular,may,mon,40,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
1669,36,blue-collar,married,unknown,unknown,no,no,telephone,may,thu,117,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1670,35,technician,married,professional.course,no,yes,no,telephone,aug,mon,209,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1671,32,technician,married,university.degree,no,no,no,cellular,jul,wed,124,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
1672,29,admin.,single,university.degree,no,yes,no,telephone,may,wed,849,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1673,45,blue-collar,single,professional.course,no,yes,no,cellular,may,fri,1954,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
1674,30,admin.,single,high.school,no,yes,yes,cellular,jul,tue,254,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
1675,20,student,single,unknown,no,yes,yes,cellular,oct,tue,187,1,3,4,success,-1.1,94.601,-49.5,0.982,4963.6,yes
1676,33,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,199,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
1677,59,admin.,married,high.school,unknown,yes,yes,telephone,may,thu,118,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1678,66,retired,married,basic.6y,unknown,no,no,cellular,aug,wed,174,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.879,5076.2,no
1679,39,admin.,married,professional.course,no,yes,yes,cellular,aug,fri,112,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
1680,59,retired,married,basic.4y,no,no,no,cellular,may,mon,13,6,999,1,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,no
1681,34,management,married,university.degree,no,yes,no,telephone,may,fri,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1682,49,blue-collar,divorced,basic.6y,unknown,yes,no,cellular,jul,mon,364,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
1683,52,admin.,divorced,university.degree,no,no,yes,cellular,jul,wed,216,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1684,50,admin.,married,high.school,unknown,no,no,telephone,may,wed,225,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1685,46,management,married,university.degree,unknown,yes,yes,cellular,may,wed,172,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
1686,32,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,90,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1687,34,admin.,single,high.school,no,yes,no,cellular,aug,tue,168,2,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,no
1688,48,blue-collar,married,basic.4y,no,yes,no,cellular,jul,tue,264,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
1689,55,technician,married,professional.course,no,no,no,cellular,nov,fri,182,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
1690,26,admin.,single,high.school,no,no,yes,cellular,jul,wed,136,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1691,56,admin.,married,professional.course,no,yes,no,cellular,aug,wed,106,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1692,41,admin.,married,university.degree,no,yes,no,cellular,nov,wed,58,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1693,30,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,332,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
1694,52,housemaid,divorced,basic.9y,unknown,no,no,cellular,jul,mon,272,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
1695,30,entrepreneur,married,professional.course,no,no,no,telephone,may,wed,122,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1696,30,admin.,married,university.degree,no,no,no,cellular,aug,thu,45,17,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
1697,32,admin.,single,university.degree,no,yes,no,telephone,may,wed,175,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
1698,34,technician,married,professional.course,no,yes,no,telephone,may,thu,24,1,999,0,nonexistent,-1.8,93.876,-40.0,0.6990000000000001,5008.7,no
1699,39,technician,married,high.school,no,yes,no,cellular,may,tue,451,4,3,1,success,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
1700,35,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,342,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1701,41,admin.,married,high.school,no,yes,no,cellular,nov,mon,353,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
1702,48,blue-collar,married,unknown,no,no,no,telephone,aug,mon,63,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1703,34,technician,single,professional.course,no,yes,no,cellular,may,mon,240,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
1704,28,admin.,single,university.degree,no,yes,no,cellular,may,fri,50,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,no
1705,34,blue-collar,divorced,basic.4y,no,yes,no,telephone,may,fri,306,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
1706,37,admin.,single,university.degree,no,yes,no,cellular,aug,thu,85,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
1707,50,services,married,unknown,no,yes,no,cellular,aug,thu,90,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
1708,37,admin.,single,university.degree,no,no,yes,cellular,aug,mon,89,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1709,36,management,married,university.degree,unknown,no,no,cellular,aug,tue,504,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1710,38,self-employed,married,basic.9y,no,no,yes,telephone,may,wed,355,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
1711,47,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1712,55,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,74,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1713,39,blue-collar,married,basic.9y,no,yes,no,cellular,sep,mon,791,3,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,no
1714,78,retired,divorced,basic.4y,no,yes,no,cellular,nov,fri,182,2,3,1,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
