,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
2163,15.0,4.0,1.0,2.0,61.0,293.25,0.06,16.67,17.59,4887.48,0.1,271.53,10,0,3,0,16,12,36,25,7,False
2164,12.0,2.0,1.0,2.0,21.0,82.04,0.13,7.5,10.94,615.34,0.03,34.19,7,3,0,0,9,6,11,10,3,False
2165,15.0,3.0,1.0,2.0,24.0,88.81,0.14,7.2,12.33,639.44,0.03,35.52,11,0,2,0,8,5,15,9,5,False
2166,84.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,17,False
2167,42.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,False
2168,4.0,1.0,1.0,1.0,15.0,55.51,0.2,5.0,11.1,277.53,0.02,15.42,2,0,0,0,10,3,12,3,1,False
2169,5.0,1.0,1.0,1.0,10.0,33.22,0.29,3.5,9.49,116.27,0.01,6.46,2,0,1,0,7,3,7,3,1,False
2170,36.0,4.0,1.0,4.0,106.0,552.2,0.07,14.61,37.8,8066.95,0.18,448.16,27,3,4,0,14,23,58,48,7,False
2171,20.0,3.0,1.0,2.0,91.0,459.04,0.08,11.79,38.94,5411.84,0.15,300.66,15,0,3,0,14,19,59,32,5,False
2172,14.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
2173,113.0,40.0,33.0,36.0,450.0,2739.36,0.04,27.85,98.37,76280.59,0.91,4237.81,96,4,11,0,16,52,269,181,79,False
2174,34.0,6.0,6.0,5.0,103.0,548.16,0.06,16.77,32.68,9194.11,0.18,510.78,28,3,1,0,18,22,62,41,11,False
2175,587.0,48.0,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,95,True
2176,59.0,4.0,1.0,4.0,110.0,581.39,0.07,14.69,39.58,8539.23,0.19,474.4,37,11,9,0,15,24,63,47,7,True
2177,64.0,1.0,1.0,1.0,137.0,839.71,0.49,2.02,413.59,1704.87,0.28,94.71,36,0,28,0,4,66,70,67,1,True
2178,95.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
2179,9.0,1.0,1.0,1.0,25.0,102.19,0.26,3.85,26.54,393.42,0.03,21.86,6,0,1,0,7,10,14,11,1,False
2180,5.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,1,0,4,4,5,4,1,False
2181,9.0,1.0,1.0,1.0,21.0,69.76,0.2,5.0,13.95,348.8,0.02,19.38,5,0,2,0,5,5,11,10,1,False
2182,46.0,12.0,11.0,8.0,125.0,580.48,0.03,32.89,17.65,19091.41,0.19,1060.63,26,16,1,0,16,9,88,37,23,True
2183,25.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,False
2184,95.0,10.0,1.0,9.0,326.0,1917.74,0.04,27.65,69.36,53022.96,0.64,2945.72,80,0,10,0,22,37,233,93,17,True
2185,33.0,4.0,3.0,4.0,114.0,622.38,0.05,20.09,30.98,12501.62,0.21,694.53,26,0,5,0,21,23,70,44,7,True
2186,60.0,13.0,12.0,9.0,151.0,847.82,0.07,14.06,60.3,11920.88,0.28,662.27,51,2,4,1,16,33,93,58,25,True
2187,32.0,4.0,1.0,1.0,61.0,279.68,0.07,14.77,18.93,4131.68,0.09,229.54,21,4,4,0,13,11,36,25,7,False
2188,22.0,4.0,4.0,2.0,63.0,299.56,0.05,19.55,15.32,5856.36,0.1,325.35,17,0,3,0,17,10,40,23,7,False
2189,17.0,3.0,1.0,3.0,24.0,88.81,0.23,4.29,20.72,380.62,0.03,21.15,11,2,2,0,6,7,14,10,5,False
2190,24.0,6.0,4.0,1.0,46.0,205.13,0.08,13.0,15.78,2666.74,0.07,148.15,18,1,3,0,13,9,28,18,11,False
2191,22.0,5.0,1.0,5.0,41.0,156.1,0.15,6.75,23.13,1053.69,0.05,58.54,18,1,1,0,6,8,23,18,9,False
2192,30.0,7.0,1.0,5.0,99.0,465.34,0.05,19.0,24.49,8841.53,0.16,491.2,27,0,1,0,13,13,61,38,13,False
2193,9.0,1.0,1.0,1.0,40.0,172.88,0.17,6.0,28.81,1037.26,0.06,57.63,6,0,1,0,8,12,22,18,1,False
2194,36.0,5.0,1.0,4.0,87.0,426.9,0.06,17.06,25.02,7283.97,0.14,404.67,29,0,5,0,14,16,48,39,9,False
2195,39.0,5.0,1.0,3.0,46.0,191.82,0.1,10.0,19.18,1918.17,0.06,106.56,23,11,2,1,9,9,26,20,9,True
2196,7.0,1.0,1.0,1.0,16.0,55.35,0.44,2.29,24.22,126.52,0.02,7.03,4,0,1,0,4,7,8,8,1,False
2197,20.0,3.0,1.0,2.0,48.0,240.0,0.11,9.0,26.67,2160.0,0.08,120.0,18,0,0,0,16,16,30,18,4,False
2198,13.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,False
2199,78.0,9.0,4.0,8.0,239.0,1434.0,0.03,34.89,41.1,50039.05,0.48,2779.95,56,0,21,0,26,38,137,102,17,True
2200,537.0,18.0,1.0,16.0,2158.0,16602.54,0.02,62.49,265.68,1037522.97,5.53,57640.16,375,44,114,2,24,183,1205,953,35,True
2201,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3,2,3,2,1,False
2202,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
2203,193.0,36.0,1.0,36.0,619.0,3656.37,0.03,34.83,104.97,127363.39,1.22,7075.74,148,4,38,0,15,45,410,209,71,True
2204,14.0,2.0,1.0,1.0,29.0,96.34,0.11,9.33,10.32,899.14,0.03,49.95,6,3,2,0,7,3,21,8,3,True
2205,11.0,3.0,3.0,1.0,36.0,152.93,0.12,8.33,18.35,1274.38,0.05,70.8,8,0,1,0,10,9,21,15,5,False
2206,36.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19,False
2207,7.0,1.0,1.0,1.0,35.0,145.95,0.25,4.0,36.49,583.79,0.05,32.43,5,0,0,0,6,12,19,16,1,False
2208,8.0,1.0,1.0,1.0,19.0,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5,0,1,0,5,6,11,8,1,True
2209,4.0,1.0,1.0,1.0,12.0,41.51,0.29,3.5,11.86,145.3,0.01,8.07,2,0,0,0,7,4,8,4,1,False
2210,11.0,2.0,1.0,2.0,33.0,128.93,0.13,7.43,17.36,957.75,0.04,53.21,8,0,1,0,8,7,20,13,3,False
2211,12.0,3.0,1.0,2.0,22.0,88.0,0.12,8.33,10.56,733.33,0.03,40.74,9,0,1,0,10,6,12,10,5,True
2212,18.0,5.0,4.0,4.0,69.0,324.33,0.06,16.36,19.82,5307.22,0.11,294.85,10,3,3,0,15,11,45,24,9,False
2213,14.0,2.0,1.0,2.0,23.0,94.01,0.25,4.0,23.5,376.05,0.03,20.89,10,1,1,0,8,9,14,9,3,False
2214,110.0,17.0,13.0,8.0,322.0,2069.26,0.03,33.41,61.94,69127.22,0.69,3840.4,81,13,14,0,27,59,176,146,33,True
2215,17.0,8.0,7.0,4.0,97.0,493.48,0.04,24.07,20.5,11876.51,0.16,659.81,12,0,3,0,19,15,59,38,15,False
2216,15.0,4.0,3.0,2.0,28.0,122.98,0.12,8.13,15.14,999.25,0.04,55.51,9,3,1,0,13,8,18,10,7,False
2217,26.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
2218,41.0,6.0,1.0,1.0,54.0,250.77,0.14,7.38,33.96,1851.83,0.08,102.88,33,0,6,0,12,13,38,16,7,True
2219,28.0,3.0,1.0,3.0,41.0,187.98,0.13,7.5,25.06,1409.88,0.06,78.33,17,5,4,0,12,12,26,15,5,False
2220,16.0,5.0,1.0,5.0,56.0,266.27,0.06,18.18,14.65,4841.34,0.09,268.96,13,0,1,0,16,11,31,25,9,False
2221,10.0,2.0,1.0,2.0,28.0,109.39,0.13,8.0,13.67,875.14,0.04,48.62,7,0,1,0,8,7,14,14,3,False
2222,5.0,1.0,1.0,1.0,13.0,43.19,0.5,2.0,21.59,86.37,0.01,4.8,3,0,0,0,4,6,7,6,1,False
2223,15.0,1.0,1.0,1.0,46.0,191.82,0.08,11.79,16.28,2260.7,0.06,125.59,10,1,2,0,11,7,31,15,1,False
2224,5.0,2.0,1.0,1.0,15.0,55.51,0.29,3.5,15.86,194.27,0.02,10.79,3,0,0,0,7,6,9,6,3,False
2225,40.0,14.0,7.0,8.0,179.0,1034.85,0.05,21.31,48.57,22051.72,0.34,1225.1,30,0,8,0,21,34,110,69,27,False
2226,42.0,6.0,1.0,2.0,61.0,283.28,0.11,9.23,30.69,2614.85,0.09,145.27,37,0,3,0,12,13,41,20,11,False
2227,580.0,36.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,71,True
2228,22.0,3.0,1.0,2.0,50.0,222.97,0.1,10.0,22.3,2229.72,0.07,123.87,17,0,3,0,11,11,30,20,5,False
2229,14.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
2230,13.0,1.0,1.0,1.0,29.0,113.3,0.25,4.0,28.32,453.2,0.04,25.18,8,1,2,0,6,9,17,12,1,False
2231,84.0,18.0,16.0,2.0,267.0,1499.13,0.02,43.19,34.71,64740.1,0.5,3596.67,62,11,7,0,22,27,161,106,35,False
2232,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
2233,64.0,5.0,1.0,5.0,213.0,1176.52,0.06,17.47,67.34,20554.47,0.39,1141.92,48,4,10,0,12,34,114,99,9,False
2234,6.0,2.0,1.0,1.0,22.0,88.0,0.15,6.6,13.33,580.8,0.03,32.27,4,0,0,0,11,5,16,6,3,True
2235,165.0,16.0,7.0,9.0,704.0,4667.07,0.02,52.32,89.2,244180.95,1.56,13565.61,135,2,26,0,24,75,377,327,31,True
2236,24.0,4.0,1.0,3.0,54.0,253.82,0.1,10.0,25.38,2538.24,0.08,141.01,17,3,2,0,13,13,34,20,7,False
2237,5.0,1.0,1.0,1.0,17.0,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,0,6,6,10,7,1,False
2238,4.0,1.0,1.0,1.0,12.0,41.51,0.29,3.5,11.86,145.3,0.01,8.07,2,0,0,0,7,4,8,4,1,False
2239,80.0,13.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25,False
2240,95.0,24.0,12.0,9.0,586.0,3966.16,0.03,37.65,105.35,149321.05,1.32,8295.61,86,1,8,0,25,84,333,253,47,False
2241,92.0,3.0,1.0,3.0,556.0,3609.47,0.04,28.37,127.21,102418.72,1.2,5689.93,71,6,11,0,18,72,329,227,5,True
2242,133.0,36.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,71,True
2243,56.0,5.0,1.0,5.0,174.0,982.03,0.06,16.93,58.01,16624.38,0.33,923.58,49,0,5,0,15,35,95,79,9,False
2244,22.0,3.0,1.0,3.0,64.0,317.07,0.1,10.31,30.75,3269.77,0.11,181.65,16,0,4,0,15,16,42,22,5,False
2245,82.0,7.0,4.0,3.0,81.0,412.08,0.06,17.73,23.24,7307.63,0.14,405.98,35,38,6,1,19,15,53,28,12,False
2246,72.0,14.0,9.0,4.0,218.0,1322.41,0.03,36.63,36.1,48441.87,0.44,2691.22,58,1,10,0,29,38,122,96,27,False
2247,16.0,3.0,1.0,3.0,67.0,307.19,0.09,11.0,27.93,3379.12,0.1,187.73,13,0,0,1,12,12,45,22,5,False
2248,20.0,4.0,1.0,2.0,60.0,275.1,0.07,14.0,19.65,3851.37,0.09,213.96,15,0,3,0,14,10,40,20,7,False
2249,25.0,5.0,1.0,4.0,105.0,538.57,0.09,11.69,46.08,6294.59,0.18,349.7,21,0,2,0,11,24,54,51,9,False
2250,26.0,6.0,1.0,3.0,80.0,345.75,0.03,28.79,12.01,9952.78,0.12,552.93,16,3,5,0,13,7,49,31,11,False
2251,5.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,1,0,4,3,4,3,1,False
2252,214.0,13.0,1.0,10.0,485.0,3039.39,0.02,47.92,63.42,145652.41,1.01,8091.8,126,65,19,0,26,51,297,188,19,True
2253,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,True
2254,44.0,10.0,10.0,6.0,124.0,699.84,0.08,11.79,59.38,8248.09,0.23,458.23,34,1,6,1,15,35,69,55,19,True
2255,59.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,163,False
2256,242.0,1.0,1.0,1.0,1217.0,8120.34,0.02,43.99,184.6,357202.76,2.71,19844.6,231,0,9,0,14,88,664,553,1,False
2257,28.0,6.0,1.0,6.0,95.0,487.28,0.07,14.63,33.32,7126.5,0.16,395.92,28,0,0,0,15,20,56,39,7,False
2258,12.0,3.0,1.0,2.0,24.0,100.08,0.13,8.0,12.51,800.63,0.03,44.48,8,0,2,0,12,6,16,8,5,False
2259,15.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
2260,20.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,True
2261,15.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
2262,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4,2,4,2,1,False
2263,8.0,1.0,1.0,1.0,15.0,45.0,0.2,5.0,9.0,225.0,0.02,12.5,5,0,1,0,5,3,9,6,1,False
2264,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,False
2265,143.0,22.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,43,True
2266,6.0,1.0,1.0,1.0,13.0,39.0,0.56,1.8,21.67,70.2,0.01,3.9,4,0,0,0,3,5,7,6,1,False
2267,18.0,1.0,1.0,1.0,27.0,105.49,0.5,2.0,52.74,210.97,0.04,11.72,7,5,4,0,4,11,16,11,1,False
2268,44.0,6.0,1.0,2.0,144.0,668.72,0.03,37.33,17.91,24965.37,0.22,1386.97,33,0,8,0,16,9,102,42,11,False
2269,28.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
2270,14.0,3.0,1.0,3.0,55.0,272.48,0.07,13.85,19.68,3772.81,0.09,209.6,9,0,2,0,18,13,35,20,5,False
2271,8.0,1.0,1.0,1.0,14.0,46.51,0.27,3.75,12.4,174.4,0.02,9.69,5,0,1,0,6,4,9,5,1,False
2272,8.0,1.0,1.0,1.0,21.0,79.95,0.21,4.67,17.13,373.12,0.03,20.73,5,0,1,0,8,6,14,7,1,False
2273,5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0,5,6,8,7,1,False
2274,145.0,7.0,1.0,7.0,402.0,2653.16,0.03,31.25,84.9,82911.41,0.88,4606.19,99,18,13,13,25,72,222,180,9,False
2275,11.0,2.0,1.0,1.0,25.0,83.05,0.08,12.0,6.92,996.58,0.03,55.37,9,0,0,0,8,2,19,6,3,False
2276,78.0,13.0,4.0,6.0,347.0,2006.13,0.02,54.63,36.73,109584.95,0.67,6088.05,51,16,9,0,23,32,195,152,25,True
2277,34.0,6.0,5.0,2.0,83.0,432.38,0.06,16.89,25.6,7302.5,0.14,405.69,20,5,5,0,19,18,51,32,11,False
2278,15.0,2.0,1.0,2.0,51.0,208.46,0.15,6.65,31.35,1386.26,0.07,77.01,13,0,0,0,7,10,32,19,3,False
2279,11.0,1.0,1.0,1.0,44.0,152.21,0.11,9.0,16.91,1369.93,0.05,76.11,6,0,2,1,6,5,29,15,1,False
2280,26.0,3.0,1.0,2.0,52.0,224.74,0.06,16.5,13.62,3708.21,0.07,206.01,19,1,1,3,12,8,30,22,5,False
2281,28.0,5.0,3.0,3.0,64.0,314.04,0.1,10.32,30.42,3242.01,0.1,180.11,20,0,6,0,13,17,37,27,9,False
2282,17.0,9.0,1.0,1.0,75.0,375.0,0.14,7.0,53.57,2625.0,0.13,145.83,14,0,1,0,14,18,57,18,10,False
2283,10.0,2.0,1.0,2.0,37.0,151.24,0.2,4.91,30.81,742.43,0.05,41.25,7,0,1,0,6,11,19,18,3,False
2284,15.0,4.0,4.0,3.0,29.0,127.38,0.11,9.0,14.15,1146.39,0.04,63.69,10,0,2,0,14,7,20,9,7,False
2285,31.0,6.0,3.0,4.0,115.0,645.69,0.07,13.81,46.75,8918.62,0.22,495.48,26,1,1,1,17,32,63,52,11,False
2286,58.0,7.0,1.0,5.0,184.0,1048.88,0.06,15.47,67.78,16230.05,0.35,901.67,49,2,5,0,14,38,100,84,13,False
2287,42.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,13,False
2288,1411.0,127.0,33.0,105.0,5669.0,46943.69,0.0,215.17,218.17,10100866.9,15.65,561159.25,952,344,106,7,49,262,3368,2301,240,True
2289,152.0,16.0,11.0,9.0,500.0,3370.73,0.04,26.92,125.22,90732.21,1.12,5040.68,115,0,35,0,22,85,292,208,31,True
2290,33.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
2291,17.0,3.0,1.0,3.0,55.0,248.8,0.12,8.08,30.8,2009.51,0.08,111.64,13,0,1,0,10,13,34,21,5,False
2292,14.0,3.0,1.0,3.0,34.0,138.97,0.12,8.44,16.47,1172.59,0.05,65.14,10,0,2,0,9,8,19,15,5,False
2293,56.0,3.0,1.0,2.0,146.0,917.67,0.04,22.73,40.37,20861.67,0.31,1158.98,47,1,6,0,33,45,84,62,4,False
2294,24.0,9.0,6.0,2.0,95.0,470.65,0.03,35.7,13.18,16802.16,0.16,933.45,20,0,2,0,21,10,61,34,17,False
2295,19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
2296,8.0,1.0,1.0,1.0,32.0,130.8,0.15,6.65,19.67,869.81,0.04,48.32,5,0,1,0,7,10,13,19,1,False
2297,36.0,10.0,9.0,4.0,93.0,480.8,0.05,20.12,23.9,9672.63,0.16,537.37,30,0,3,1,19,17,57,36,19,False
2298,50.0,4.0,1.0,3.0,103.0,551.83,0.05,21.16,26.08,11676.18,0.18,648.68,22,18,8,0,19,22,54,49,7,True
2299,31.0,2.0,1.0,1.0,18.0,66.61,0.15,6.75,9.87,449.6,0.02,24.98,9,0,20,0,9,4,12,6,3,False
2300,81.0,9.0,1.0,2.0,166.0,964.02,0.06,16.95,56.89,16336.25,0.32,907.57,58,8,12,1,19,37,100,66,10,False
2301,39.0,3.0,1.0,3.0,93.0,465.0,0.09,11.63,39.98,5408.68,0.16,300.48,27,5,5,0,13,19,59,34,5,True
2302,11.0,2.0,1.0,2.0,30.0,129.66,0.19,5.32,24.38,689.54,0.04,38.31,6,1,1,0,9,11,17,13,3,False
2303,19.0,3.0,1.0,3.0,48.0,210.83,0.1,10.45,20.17,2204.14,0.07,122.45,12,2,3,0,10,11,25,23,5,False
2304,107.0,16.0,10.0,13.0,363.0,2209.75,0.03,32.52,67.95,71864.88,0.74,3992.49,76,11,15,2,22,46,227,136,31,True
2305,39.0,3.0,1.0,3.0,162.0,850.16,0.04,23.8,35.71,20237.61,0.28,1124.31,29,0,4,0,14,23,88,73,5,True
2306,38.0,7.0,1.0,3.0,111.0,594.69,0.07,15.29,38.9,9091.87,0.2,505.1,32,0,4,0,15,26,58,53,13,False
2307,30.0,5.0,5.0,1.0,68.0,343.02,0.05,20.77,16.52,7124.24,0.11,395.79,27,0,1,0,20,13,43,27,9,False
2308,47.0,9.0,4.0,3.0,135.0,737.02,0.05,19.38,38.03,14283.51,0.25,793.53,39,2,3,0,19,25,84,51,15,False
2309,41.0,10.0,8.0,2.0,95.0,494.9,0.05,18.95,26.12,9377.02,0.16,520.95,34,0,4,1,18,19,55,40,19,False
2310,11.0,2.0,1.0,2.0,13.0,39.0,0.4,2.5,15.6,97.5,0.01,5.42,9,0,0,0,4,4,8,5,3,False
2311,26.0,4.0,3.0,2.0,50.0,235.02,0.1,10.0,23.5,2350.22,0.08,130.57,16,0,5,3,13,13,30,20,7,False
2312,23.0,5.0,1.0,1.0,65.0,276.12,0.06,17.33,15.93,4786.0,0.09,265.89,20,0,1,0,13,6,49,16,7,False
2313,28.0,1.0,1.0,1.0,76.0,372.92,0.1,9.84,37.89,3670.35,0.12,203.91,13,6,7,0,11,19,42,34,1,False
2314,10.0,2.0,1.0,1.0,29.0,123.19,0.22,4.5,27.38,554.35,0.04,30.8,7,0,1,0,9,10,19,10,3,False
2315,32.0,4.0,1.0,4.0,66.0,310.23,0.15,6.89,45.03,2137.13,0.1,118.73,22,1,7,0,8,18,35,31,7,True
2316,34.0,7.0,6.0,3.0,130.0,661.37,0.03,29.08,22.75,19230.61,0.22,1068.37,27,0,5,0,21,13,94,36,13,True
2317,10.0,4.0,1.0,2.0,24.0,100.08,0.12,8.64,11.58,864.96,0.03,48.05,7,0,1,0,11,7,13,11,7,False
2318,27.0,3.0,1.0,3.0,84.0,403.82,0.04,24.67,16.37,9960.84,0.13,553.38,19,0,4,0,16,12,47,37,5,False
2319,18.0,11.0,6.0,7.0,144.0,744.47,0.06,17.82,41.78,13265.09,0.25,736.95,15,0,1,0,14,22,88,56,21,False
2320,44.0,6.0,1.0,6.0,112.0,532.55,0.06,17.87,29.79,9519.28,0.18,528.85,37,3,2,0,11,16,60,52,11,False
2321,11.0,2.0,1.0,1.0,18.0,64.53,0.14,7.0,9.22,451.71,0.02,25.09,6,1,1,0,8,4,11,7,3,False
2322,109.0,9.0,1.0,7.0,416.0,2297.8,0.02,66.0,34.82,151654.92,0.77,8425.27,80,13,13,1,23,23,284,132,17,False
2323,136.0,42.0,32.0,35.0,547.0,3477.58,0.03,33.23,104.67,115545.43,1.16,6419.19,102,7,22,0,20,62,341,206,83,True
2324,143.0,15.0,1.0,14.0,463.0,2626.33,0.02,53.2,49.37,139720.91,0.88,7762.27,123,10,7,0,21,30,311,152,29,False
2325,24.0,1.0,1.0,1.0,83.0,358.72,0.07,15.14,23.7,5429.72,0.12,301.65,15,3,4,0,9,11,46,37,1,False
2326,23.0,4.0,1.0,4.0,63.0,272.28,0.09,11.5,23.68,3131.24,0.09,173.96,16,3,1,1,10,10,40,23,5,False
2327,149.0,11.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,21,True
2328,34.0,9.0,3.0,6.0,144.0,726.39,0.03,30.28,23.99,21996.08,0.24,1222.0,29,0,3,0,17,16,96,57,17,False
2329,23.0,3.0,1.0,2.0,65.0,301.85,0.08,12.73,23.72,3841.74,0.1,213.43,15,2,4,0,14,11,45,20,5,False
2330,10.0,2.0,1.0,1.0,38.0,166.91,0.15,6.82,24.48,1138.01,0.06,63.22,6,0,1,0,10,11,23,15,3,False
2331,68.0,6.0,1.0,4.0,242.0,1392.68,0.04,24.58,56.66,34233.65,0.46,1901.87,53,4,9,0,17,37,135,107,11,False
2332,63.0,6.0,1.0,6.0,194.0,1121.58,0.05,20.85,53.8,23381.91,0.37,1298.99,51,2,7,1,19,36,115,79,11,False
2333,12.0,2.0,1.0,2.0,27.0,105.49,0.18,5.69,18.55,599.95,0.04,33.33,7,0,3,0,7,8,14,13,3,False
2334,37.0,5.0,1.0,1.0,143.0,721.35,0.05,18.57,38.84,13396.47,0.24,744.25,26,2,6,1,12,21,78,65,9,True
2335,81.0,15.0,10.0,14.0,266.0,1485.6,0.05,20.43,72.72,30348.69,0.5,1686.04,72,4,2,1,13,35,156,110,29,True
2336,45.0,2.0,1.0,1.0,86.0,413.43,0.13,8.0,51.68,3307.46,0.14,183.75,22,11,9,0,8,20,46,40,3,False
2337,46.0,11.0,9.0,11.0,113.0,597.25,0.04,23.68,25.22,14145.41,0.2,785.86,35,6,3,0,20,19,68,45,21,False
2338,35.0,4.0,4.0,3.0,93.0,469.13,0.06,16.67,28.15,7818.81,0.16,434.38,26,2,4,0,15,18,53,40,7,False
2339,16.0,1.0,1.0,1.0,67.0,268.0,0.05,20.9,12.82,5601.2,0.09,311.18,10,0,4,0,11,5,48,19,1,False
2340,52.0,4.0,1.0,3.0,192.0,1094.48,0.05,18.22,60.06,19943.94,0.36,1108.0,38,7,2,3,16,36,110,82,7,False
2341,40.0,2.0,1.0,2.0,128.0,656.55,0.09,11.48,57.2,7536.03,0.22,418.67,33,0,5,0,12,23,84,44,3,True
2342,9.0,2.0,1.0,2.0,19.0,72.34,0.33,3.0,24.11,217.02,0.02,12.06,7,0,0,0,6,8,11,8,3,False
2343,96.0,15.0,9.0,9.0,334.0,2157.45,0.02,50.92,42.37,109857.36,0.72,6103.19,70,9,14,1,38,50,200,134,27,True
2344,31.0,3.0,3.0,2.0,106.0,578.7,0.11,9.38,61.73,5425.31,0.19,301.41,23,1,5,0,12,32,56,50,5,False
2345,26.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
2346,7.0,1.0,1.0,1.0,27.0,112.59,0.23,4.4,25.59,495.39,0.04,27.52,4,0,1,0,8,10,16,11,1,False
2347,36.0,4.0,1.0,1.0,66.0,306.49,0.05,19.73,15.54,6046.3,0.1,335.91,21,4,5,2,14,11,35,31,7,False
2348,58.0,7.0,1.0,2.0,175.0,890.31,0.03,39.27,22.67,34959.35,0.3,1942.19,44,3,8,0,19,15,113,62,13,False
2349,86.0,13.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25,False
2350,48.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,True
2351,5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0,5,6,8,7,1,False
2352,21.0,2.0,1.0,2.0,39.0,168.56,0.19,5.33,31.6,898.96,0.06,49.94,10,4,4,1,8,12,23,16,3,False
2353,17.0,3.0,1.0,3.0,42.0,187.3,0.11,9.39,19.95,1758.5,0.06,97.69,13,0,2,0,13,9,29,13,5,True
2354,24.0,3.0,1.0,3.0,50.0,219.62,0.11,9.0,24.4,1976.54,0.07,109.81,15,1,4,2,9,12,26,24,5,False
2355,12.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
